name,image,price,stock
מטען TYPE C לאייפון,7290107342636.jpg,70,1
אוזניות TEPE C,7260007771416.jpg,45,1
אוזניות אייפון כבל רגיל,6521523021456.jpg,45,1
אוזניות כבל AUX,7260007771393.jpg,30,1
כבל 3 יציאות,6971393457082.jpg,40,1
כבל TYPE C לאייפון,7260007770976.jpg,40,1
כבל TYPET C ל TYPE C,7260007770983.jpg,40,1
כבל USB  אייפון,7260007770952.jpg,35,1
כבל USB TYPE C,7260007770969.jpg,40,1
כבל USB-MICRO,7260007770990.jpg,30,1
מטען 2 כניסות אוניברסלי,7290107343886.jpg,25,1
מטען TYPE C ל TYPE C,7290107342629.jpg,65,1
מטען אוניברסלי 20W,7290107342643.jpg,45,1
מטען בית אייפון,7290107343664.jpg,45,1
מטען כולל כבל ל TYPY C,7290107343657.jpg,40,1
מטען לרכב אייפון,7290107343862.jpg,75,1
מטען נייד 10000MAH,6971393450441.jpg,150,1
מטען נייד 5000MAH  POWER BANK,7290111743276.jpg,70,1
מטען רכב TYPE C,7290107343879.jpg,65,1
מעמד מגנט לדשבורד רכב,6954625010545.jpg,55,1
מעמד מגנט למזגן הרכב,726000777529.jpg,60,1
מעמד מגנט מזגן לרכב,7260007772529.jpg,55,1
ראש מטען לרכב 2 כניסות,7290107344968.jpg,55,1
