name,image,price,stock
מתקן פנצרים,7290011316730.jpg,36,1
תרסיס אנטי פנצר 450 מ^ל,6959375199786.jpg,25,1
קצף לניקוי צמיגים,6959375199342.jpg,22,1
מחדש ומגן צמיגים,071153655270.jpg,45,1
ספריי סקאי לימון,6942477404100.jpg,25,1
ספריי סקאי בניחוח תות,6942477404087.jpg,25,1
ספריי סקאי בניחוח אורנים,6942477404094.jpg,25,1
תרסיס סקאי לרכב,693493252812.jpg,19,1
גילדה צהובה לניקוי,7290016750294.jpg,25,1
נוזל חלנות לרכב,7290001497210.jpg,18,1
שמפו עם ווקס,7290002318651.jpg,40,1
אא מנקה מרכך ומחדש עור,5020144500094.jpg,55,1
שמן מנוע 5w30 C2 C3 4 ל',7290011785260.jpg,85,1
אנטי פריז ירוק,7290015102803.jpg,33,1
אנטי פריז אדום,7290015102810.jpg,33,1
נורה 12 וולט h7,4082300285833.jpg,20,1
מנורה H4,4082300286700.jpg,20,1
פנס ראש,6958332822118.jpg,22,1
מנקה ריפוד,071153785601.jpg,35,1
