name,image,price,stock
מגן ברקים כולל השהייה,9238596476003.jpg,38,1
רב שקע 5 כולל מפסק + כבל 1 מטר,5050501000004.jpg,32,1
רב שקע 3 כולל מפסק 2.1AUSB,5050301010005.jpg,32,1
רב שקע 6 כולל מפסק +כבל 1 מטר,5050601000003.jpg,32,1
רב שקע 4 כולל מפסק כבל 1 מטק,5050401000005.jpg,25,1
רב שקע 3 כולל מפסק +כבל מטר,5050301000006.jpg,22,1
מנורת לילה לד עם מפסק,8078.jpg,20,1
נורת כדור לד 12W,7291235620009.jpg,8,1
נורת לד פחם 8.5W A60 2200K צבע זהב,7291000129959.jpg,16,1
מנורת לד קטנה,7291235661347.jpg,17,1
מנורת לד גדולה,7291235617542.jpg,20,1
פנס לד ללא סוללות PHILIPS LED Rubber,8712581701642.jpg,45,1
