name,image,price,stock
סט צלחות יוקרתי 16 יח' FLOWER,7290019135173.jpg,12,1
סט צלחות 16 יח' FLOWER,7290019135173_white.jpg,12,1
סט צלחות מהודר יסמין 16 יח',7290019135968.jpg,12,1
סט צלחות מהודר יסמין 16 יח',7290019135968_white.jpg,12,1
קפ' קרטון לבן מכסה פי וי סי פסח,692358241315.jpg,8,1
קפ' קרטון לבן מכסה פי וי סי פסח,692353824136.jpg,9,1
קפ' קרטון לבן מכסה פי וי סי פסח,6923538241285.jpg,7,1
סט 12 קישוטי שולחן פסח ארבע כוסות,6923538241391.jpg,7,1
סט 12 קישוטי שולחן פסח פירמידות,6923538241407.jpg,8,1
גליל אל בד מודפס 25 סמ 3 יארד פסח,9623538241131.jpg,10,1
גליל אל בד מודפס 25 ס'מ 3 יארד פסח שמח,6923538233075.jpg,10,1
גליל אל בד מודפס 28 ס'מ 3 יארד פסח,6923538241148.jpg,10,1
צלחת סדר פסח פלסטיק שקוף,6923538206109.jpg,10,1
קערת ליל הסדר זהב ,7290113927995.jpg,10,1
קערת ליל הסדר שקוף כסף,7290113928008.jpg,10,1
פלסטיק מרובע למצות,6923538205560.jpg,20,1
חב' מפיות נייר 33*33 פסח שמח- מצה,6923538224325.jpg,5,1
